Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 32.6; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 26.3; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 28.9; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 33.3; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 31.7; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 33.3; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 33.3; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 23.7; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 26.8; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 31.7; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 34.076; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 21.1; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 23.7; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 26.8; RAM; 3.3; CPUTemp; 33.589; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 47.4; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 54.8; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 57.1; RAM; 3.4; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 57.8; RAM; 3.4; CPUTemp; 36.511; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 33.3; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 21.6; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 36.511; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 26.8; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 35.0; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 29.3; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
